,validity,connected_ball,robust,feasability,discriminative,plausable,similarity,combined,GS,CLUE,DICE,FACE
bubbles,1.1801141500473022 +/- 0.0,1.1743284463882446 +/- 0.00039665919030085206,1.198362112045288 +/- 0.0006438805139623582,0.488364040851593 +/- 0.0016247660387307405,1.209376573562622 +/- 0.0,1.1739966869354248 +/- 0.0,1.1869065761566162 +/- 0.004660150967538357,0.561091959476471 +/- 0.056752339005470276,0.6782257764613395 +/- 0.0,1.2872519493103027 +/- 0.0,2.4149060249328613 +/- 0.0,-1.0 +/- 0.0
l_dataset,8.648360252380371 +/- 0.0,11.896798133850098 +/- 0.002535885898396373,11.715188026428223 +/- 0.0035691470839083195,6.6970648765563965 +/- 0.00625733844935894,12.034707069396973 +/- 0.0,13.429510116577148 +/- 0.0,6.5970964431762695 +/- 0.0015172510175034404,11.962373733520508 +/- 0.002904728753492236,4.800275235559475 +/- 0.0,-1.0 +/- 0.0,14.080710411071777 +/- 0.0,5.79029655456543 +/- 0.0
one_moon,5.963808059692383 +/- 0.0,5.311811447143555 +/- 0.036239027976989746,5.8777642250061035 +/- 0.037009432911872864,5.335890293121338 +/- 0.027684766799211502,8.4196195602417 +/- 0.0,5.332152843475342 +/- 0.0,5.651590347290039 +/- 0.005589593667536974,5.165269374847412 +/- 0.026057496666908264,2.7216909035421795 +/- 0.0,2.3646499633789064 +/- 0.006380265065395599,2.8454058170318604 +/- 2.13093407928108,5.168641090393066 +/- 0.13070793098819908
ring_dataset,4.878705978393555 +/- 0.0,5.1667375564575195 +/- 0.023954439908266068,5.003018856048584 +/- 0.02467687614262104,5.15213680267334 +/- 0.013894802890717983,4.917106628417969 +/- 0.0,2.8080883026123047 +/- 0.0,2.824206590652466 +/- 0.004080661106854677,5.137389659881592 +/- 0.008981641381978989,2.0759600187129577 +/- 0.0,3.866128444671631 +/- 0.11047641622203769,5.913634729385376 +/- 1.4251592917777645,2.1478065490722655 +/- 0.16572678001321295
bubbles_noisy,5.6684088706970215 +/- 0.0,6.442015171051025 +/- 0.020708316937088966,5.72841739654541 +/- 0.008063778281211853,0.15733325481414795 +/- 0.0029264541808515787,2.7183921337127686 +/- 0.0,5.740255355834961 +/- 0.0,1.6637033224105835 +/- 0.003138406900689006,0.8933442831039429 +/- 0.01149625051766634,1.5280605484422183 +/- 0.0,-1.0 +/- 0.0,3.7382659912109375 +/- 0.0,1.6241039037704468 +/- 0.0
two_moon,2.453127145767212 +/- 0.0,3.7927536964416504 +/- 0.6441618800163269,3.9120757579803467 +/- 0.011966179125010967,0.058050889521837234 +/- 0.0363662987947464,2.5442144870758057 +/- 0.0,2.3021633625030518 +/- 0.0,1.645739197731018 +/- 0.012768291868269444,4.043223857879639 +/- 0.010927963070571423,1.4677211702590294 +/- 0.0,2.0309182167053224 +/- 0.005529379440805809,2.980495738983154 +/- 0.03860937065222792,1.4638923168182374 +/- 0.036139539381269854
infinity_dataset,5.1719231605529785 +/- 0.0,2.579030752182007 +/- 0.013676180504262447,5.674295425415039 +/- 0.0023149922490119934,3.4003169536590576 +/- 0.0170405562967062,5.822770118713379 +/- 0.0,2.4032671451568604 +/- 0.0,2.496793031692505 +/- 0.011666269972920418,3.364798069000244 +/- 0.010201722383499146,2.080234283250387 +/- 0.0,-1.0 +/- 0.0,3.208912897109985 +/- 1.86920166015625e-05,2.1519927024841308 +/- 0.004607963562011719
