,validity,connected_ball,robust,feasability,discriminative,plausable,similarity,combined,GS,CLUE,DICE,FACE
bubbles,0.7179123163223267 +/- 0.0,0.7121265530586243 +/- 0.00039665467920713127,0.7361602783203125 +/- 0.0006438685231842101,0.007127957884222269 +/- 0.0016247641760855913,0.7471747398376465 +/- 0.0,0.7117948532104492 +/- 0.0,0.7247047424316406 +/- 0.004660119768232107,0.1127794161438942 +/- 0.07376208156347275,0.12900570720098078 +/- 0.0,0.8250501155853271 +/- 0.0,1.396634578704834 +/- 0.0,-1.0 +/- 0.0
l_dataset,1.6044880151748657 +/- 1.1920928955078125e-07,2.540513515472412 +/- 0.002536067506298423,2.358903646469116 +/- 0.003569051157683134,0.5534343123435974 +/- 0.006257364060729742,2.6784231662750244 +/- 0.0,4.073225975036621 +/- 0.0,2.2080962657928467 +/- 0.0008788110571913421,2.6060895919799805 +/- 0.002904593711718917,2.4624918054571037 +/- 0.0,-1.0 +/- 0.0,1.7801655530929565 +/- 0.0,1.0287946462631226 +/- 0.0
one_moon,1.1022357940673828 +/- 0.0,0.04240499809384346 +/- 0.011384885758161545,1.0156996250152588 +/- 0.04241475835442543,0.033353351056575775 +/- 0.01815442182123661,7.319231986999512 +/- 4.76837158203125e-07,0.05079694837331772 +/- 0.0,0.05923711508512497 +/- 0.006942784413695335,0.052547723054885864 +/- 0.012312905862927437,2.0947857575606497 +/- 0.0,1.1334646940231323 +/- 0.0061825498676237505,0.8516567885875702 +/- 0.48199277982759586,0.03873167186975479 +/- 0.01973771504059928
ring_dataset,0.10837121307849884 +/- 0.0,0.1483250856399536 +/- 0.019490936771035194,0.02806590124964714 +/- 0.014137421734631062,0.14953193068504333 +/- 0.017508186399936676,0.0703994631767273 +/- 0.0,0.15112875401973724 +/- 0.0,0.06966018676757812 +/- 0.0040806373581290245,0.17799529433250427 +/- 0.013060363940894604,0.1643481500202052 +/- 0.0,0.06260408833622932 +/- 0.015879993046805884,0.13821644484996795 +/- 0.045271509313907,0.09241156578063965 +/- 0.047557689198643116
bubbles_noisy,1.203273057937622 +/- 0.0,0.9626523852348328 +/- 0.020708367228507996,1.143264651298523 +/- 0.008063942193984985,0.028137851506471634 +/- 0.0016218380769714713,2.090684413909912 +/- 0.0,1.131426453590393 +/- 0.0,1.0359954833984375 +/- 0.003138383850455284,0.40328121185302734 +/- 0.011496234685182571,0.07730515899843103 +/- 0.0,-1.0 +/- 0.0,3.118107318878174 +/- 0.0,0.0 +/- 0.0
two_moon,0.029972445219755173 +/- 0.0,0.03482011333107948 +/- 0.007930333726108074,0.02955629862844944 +/- 0.008669880218803883,0.029110286384820938 +/- 0.010527593083679676,0.045225031673908234 +/- 0.0,0.013090762309730053 +/- 9.313225746154785e-10,0.027323627844452858 +/- 0.011647691018879414,0.045617539435625076 +/- 0.0013917648466303945,0.08058701477707153 +/- 0.0,0.02062264084815979 +/- 0.007742114326468767,0.48978114128112793 +/- 0.038609406194679605,0.03695215322077274 +/- 0.033100517920718366
infinity_dataset,0.8885984420776367 +/- 0.0,0.20423667132854462 +/- 0.005091097205877304,1.4119288921356201 +/- 0.001425567315891385,0.7396900057792664 +/- 0.008526485413312912,1.4596481323242188 +/- 0.0,0.07764450460672379 +/- 0.0,0.2845565676689148 +/- 0.008080953732132912,0.7238788604736328 +/- 0.010441557504236698,0.05911907721854903 +/- 0.0,-1.0 +/- 0.0,0.659571397304535 +/- 1.8858909606933592e-05,0.010527444956824183 +/- 0.004607971850782633
