,validity,connected_ball,robust,feasability,discriminative,plausable,similarity,GS,CLUE,DICE,FACE
bubbles,0.9880273938179016 +/- 0.0,0.9877661466598511 +/- 0.00025507216923870146,0.9879292249679565 +/- 0.00029119907412678003,0.9903570413589478 +/- 0.0015826054150238633,0.9871589541435242 +/- 0.0,0.9878064393997192 +/- 0.0,0.9905325174331665 +/- 0.0003445780021138489,0.9899756583655851 +/- 1.1102230246251565e-16,0.9868883490562439 +/- 0.0,4.017662048339844 +/- 0.0,-1.0 +/- 0.0
l_dataset,0.836213231086731 +/- 0.0,0.8195317983627319 +/- 0.003071456216275692,0.8182088136672974 +/- 0.004092026501893997,0.8214729428291321 +/- 0.0038313977420330048,0.820647120475769 +/- 0.0,0.8157669305801392 +/- 5.960464477539063e-08,0.8138707876205444 +/- 0.0004966645501554012,0.9027347492718654 +/- 0.0,-1.0 +/- 0.0,5.534456729888916 +/- 0.0,10.66520881652832 +/- 0.0
one_moon,0.9032146334648132 +/- 0.0,0.9631935358047485 +/- 0.021465791389346123,0.9244275093078613 +/- 0.01523946039378643,0.942876935005188 +/- 0.019238969311118126,0.9153691530227661 +/- 0.0,0.9027259945869446 +/- 0.0,0.9178827404975891 +/- 0.010773484595119953,0.9377093493156539 +/- 0.0,0.9027256369590759 +/- 0.0,4.252634215354919 +/- 1.600615167617798,6.092100429534912 +/- 0.015832519531250002
ring_dataset,0.7409741282463074 +/- 0.0,0.7810174822807312 +/- 0.028799356892704964,0.7737296223640442 +/- 0.01954072341322899,0.7778018712997437 +/- 0.01395072415471077,0.7437708973884583 +/- 0.0,0.7607409954071045 +/- 0.0,0.7584212422370911 +/- 0.01373965572565794,1.1096940677219587 +/- 0.0,0.8884115934371948 +/- 0.04612182876209713,3.3652933835983276 +/- 2.1018061958382024,1.257534646987915 +/- 0.08489007495678119
bubbles_noisy,1.589507818222046 +/- 0.0,0.9764682650566101 +/- 0.034760452806949615,1.6754881143569946 +/- 0.002924848347902298,0.9238256216049194 +/- 0.001742596854455769,0.9246445894241333 +/- 0.0,3.0398149490356445 +/- 0.0,0.9354923963546753 +/- 0.005348331294953823,1.0324576458153318 +/- 0.0,-1.0 +/- 0.0,3.5380191802978516 +/- 0.0,2.1321966648101807 +/- 0.0
two_moon,0.9739722013473511 +/- 0.0,1.6335523128509521 +/- 0.7928542494773865,1.0378820896148682 +/- 0.009832985699176788,1.0126187801361084 +/- 0.03390662744641304,0.9752742648124695 +/- 5.960464477539063e-08,0.9746087789535522 +/- 0.0,1.0113985538482666 +/- 0.022326292470097542,1.022825068001867 +/- 0.0,0.973971962928772 +/- 0.0,2.762210464477539 +/- 0.3332859992980957,3.9133435249328614 +/- 0.5348861694335937
infinity_dataset,0.9980632662773132 +/- 0.0,1.0198614597320557 +/- 0.006816484499722719,1.0020602941513062 +/- 0.004634580109268427,1.0217504501342773 +/- 0.01862405613064766,0.9979475140571594 +/- 0.0,0.9926594495773315 +/- 0.0,1.003408432006836 +/- 0.004340431187301874,1.000588033905579 +/- 0.0,-1.0 +/- 0.0,1.8268795490264893 +/- 3.814697265625001e-07,3.2388097286224364 +/- 0.37534122467041015
