,validity,connected_ball,robust,feasability,discriminative,plausable,similarity,combined,GS,CLUE,DICE,FACE
bubbles,0.47261112928390503 +/- 0.0,0.47298604249954224 +/- 0.0001074314204743132,0.3873395323753357 +/- 2.5186966013279743e-05,0.9986612200737 +/- 4.66038181912154e-06,0.3974977731704712 +/- 0.0,0.473214715719223 +/- 2.9802322387695312e-08,0.4443904757499695 +/- 0.0017718711169436574,0.6899150013923645 +/- 0.057064857333898544,0.49742668867111206 +/- 0.0,0.4388495683670044 +/- 0.0,0.424885094165802 +/- 0.0,-1.0 +/- 0.0
l_dataset,0.012607097625732422 +/- 0.0,0.0009982585906982422 +/- 4.812867473447113e-07,0.000998640083707869 +/- 9.083403824661218e-07,0.7287655472755432 +/- 0.0023492586333304644,0.00099945068359375 +/- 0.0,0.0009980201721191406 +/- 0.0,0.2875301241874695 +/- 0.00035462502273730934,0.000999200390651822 +/- 4.08454923217505e-07,0.4967963695526123 +/- 0.0,-1.0 +/- 0.0,0.007912635803222656 +/- 0.0,0.027038216590881348 +/- 0.0
one_moon,0.01225137710571289 +/- 0.0,0.02039036713540554 +/- 0.00025095915771089494,0.0122871994972229 +/- 6.007604042679304e-06,0.020304322242736816 +/- 0.0003191606083419174,0.3248165249824524 +/- 0.0,0.01715916395187378 +/- 0.0,0.1434108167886734 +/- 0.000721005373634398,0.022315537557005882 +/- 0.00029480084776878357,0.49943017959594727 +/- 0.0,0.38858007192611693 +/- 0.0020105600357055663,0.10181342363357544 +/- 0.04412569999694824,0.46732923984527586 +/- 0.014227581024169923
ring_dataset,0.08805453777313232 +/- 0.0,0.10789453983306885 +/- 0.0018999354215338826,0.07994107156991959 +/- 0.00025388170615769923,0.1067231073975563 +/- 0.0011645994381979108,0.07839184999465942 +/- 0.0,0.29398858547210693 +/- 0.0,0.23397044837474823 +/- 0.002275486709550023,0.1086776852607727 +/- 0.0013761775335296988,0.49783074855804443 +/- 0.0,0.24485048055648803 +/- 0.03965158861191929,0.36113128662109373 +/- 0.03106765635476729,0.4390512704849243 +/- 0.018316307640988756
bubbles_noisy,0.00099945068359375 +/- 0.0,0.0009817242389544845 +/- 1.3941147699370049e-05,0.0009749651071615517 +/- 2.254087848996278e-05,0.992816150188446 +/- 0.00011996298417216167,0.2829355001449585 +/- 0.0,0.0009815096855163574 +/- 0.0,0.47200727462768555 +/- 0.0021022155415266752,0.7395392656326294 +/- 0.0051678987219929695,0.4937020540237427 +/- 0.0,0.41221535205841064 +/- 0.0,0.0008012652397155762 +/- 0.0,0.3707159161567688 +/- 0.0
two_moon,0.00883495807647705 +/- 0.0,0.002831792924553156 +/- 0.003673774655908346,0.0009693503379821777 +/- 1.5348212400567718e-05,0.9939323663711548 +/- 3.834483868558891e-05,0.008945167064666748 +/- 0.0,0.011139214038848877 +/- 0.0,0.09678997844457626 +/- 0.002001434564590454,0.0009950042003765702 +/- 2.0483889784372877e-06,0.4899170398712158 +/- 0.0,0.13152979612350463 +/- 0.0033658267964916328,0.0790705680847168 +/- 0.09809469356461592,0.3323228359222412 +/- 0.03780043836899571
infinity_dataset,0.0018543004989624023 +/- 0.0,0.259347140789032 +/- 0.005350537598133087,0.0009980082977563143 +/- 2.2622768938163063e-06,0.038730084896087646 +/- 0.0005442046094685793,0.00099867582321167 +/- 0.0,0.37550610303878784 +/- 0.0,0.2109774649143219 +/- 0.0008587099728174508,0.04100000858306885 +/- 0.0003102012269664556,0.49921977519989014 +/- 0.0,-1.0 +/- 0.0,0.023558855056762695 +/- 8.344650268554688e-07,0.4989504098892212 +/- 0.00029370784759521487
