dataset,method,instability,invalidity,dissimilarity,dissparsity,implausability,discriminative_power,proportion_counterfactuals
bank,FACE,132.21214294433594,0.3366779088973999,277.5653381347656,0.8759999871253967,0.0,0.5401555895805359,1.0
churn,FACE,,,,,,,0.0
compas,FACE,3.191300630569458,0.3708062171936035,10.007428169250488,0.39588236808776855,0.0,0.7822404503822327,1.0
diabetes,FACE,0.720283031463623,0.41017523407936096,2.2791566848754883,0.93359375,0.0,0.6832611560821533,1.0
fico,FACE,0.5744190812110901,0.3882465660572052,2.3553566932678223,0.8330435156822205,0.0,0.7243499159812927,1.0
home,FACE,,0.34072184562683105,1.991383671760559,0.9251700639724731,0.0,0.8380523324012756,1.0
titanic,FACE,1.0984677076339722,0.4472220242023468,3.181771755218506,0.5655555725097656,0.0,0.732350766658783,1.0
breast_cancer,FACE,0.6288610100746155,0.29474174976348877,2.048117160797119,1.0,0.0,0.8406014442443848,1.0
boston_housing,FACE,0.725692093372345,0.28822046518325806,4.940060615539551,0.9072039723396301,0.0,0.8108813166618347,1.0
