,validity,connected_ball,robust,feasability,discriminative,plausable,similarity,combined,GS,CLUE,DICE,FACE
bubbles,38.0175699505955 +/- 0.5853215723318589,66.24487445242703 +/- 0.10840841671361855,66.53143347501755 +/- 0.03882663499953765,67.37112171682529 +/- 0.02000859254294405,38.45039778859355 +/- 0.1203579584229601,38.91448395338375 +/- 0.005526999471300495,65.34318591041956 +/- 0.09954078191517068,68.66444212920032 +/- 0.11986406384429962,0.0723348177736625 +/- 0.010039428236006079,1.1329635959817097 +/- 0.09310607037239259,0.10184924979694188 +/- 0.01678747750804898,inf +/- nan
l_dataset,38.118416536808944 +/- 0.1619616911742747,27.362200557417236 +/- 0.04359924825195365,29.573073335015216 +/- 0.04880143035640695,68.1325663882075 +/- 0.05563274483784376,18.31874535039533 +/- 0.018973657111568894,17.151354483608156 +/- 0.04832314179096246,66.73873935639858 +/- 0.07429317877424672,29.597885907581077 +/- 0.039521945344874757,0.12993591902777551 +/- 0.02105311985925816,inf +/- nan,0.08679397637024522 +/- 0.015928999390514537,0.12246978399343789 +/- 0.002148332676595872
one_moon,38.2563191419933 +/- 0.10046489497821605,68.51344456614461 +/- 0.0965330046495236,68.88169437239412 +/- 0.041951500611218225,67.5061217354145 +/- 0.422204513732408,37.965865819389 +/- 0.02725696055182069,38.57525949878618 +/- 0.014638377715224648,65.85443328220863 +/- 0.02161335382012603,68.0566104864236 +/- 0.040586580858806766,0.029368223203346134 +/- 0.004259793621519249,1.1080192176159471 +/- 0.15964273577805735,0.07847672761417926 +/- 0.014640599080402614,0.11845502839423716 +/- 0.005755799325075498
ring_dataset,37.19078928157687 +/- 0.07260052177316612,67.03461409478913 +/- 0.024908357247428597,67.42904638880864 +/- 0.03042100962432583,66.8565170538146 +/- 0.06730444314521845,38.16627132778522 +/- 0.08619328672680118,38.745458243391475 +/- 0.06266693675910992,66.13918284759856 +/- 0.06081000017244519,68.37493163701147 +/- 0.05155449916803905,0.03151751882396638 +/- 0.00493061513893636,1.1342327129794285 +/- 0.12730696872340022,0.084533076826483 +/- 0.01567303862375093,0.1209532581968233 +/- 0.007632876511338232
bubbles_noisy,36.70136603682768 +/- 0.3788442055614438,18.860110756591894 +/- 0.03229000112527895,17.75730581579264 +/- 0.030537827681793143,67.06682149639819 +/- 0.08299753391279573,38.02507254979573 +/- 0.016977007858139843,12.697084777778946 +/- 0.037484759748889526,65.88637119641062 +/- 0.04892650935042036,68.10893735622521 +/- 0.03985483227348697,0.06704961901996284 +/- 0.00993921913876767,inf +/- nan,0.09838850817177444 +/- 0.016688298293888754,0.14091512423474342 +/- 0.005075849142824923
two_moon,37.28951913681813 +/- 0.04414510889330544,15.7452427304117 +/- 25.530792785029448,2.34717326159589 +/- 0.016387508047829145,66.68504524459131 +/- 0.017585188435946277,37.97694445438683 +/- 0.019360211056035796,38.641601039562374 +/- 0.011294074026102803,66.11765195140615 +/- 0.09958502764512872,3.0779644408030435 +/- 0.054503181620161906,0.029686161573044954 +/- 0.00415581783018645,1.035994702600874 +/- 0.015763338871918248,0.088352996786125 +/- 0.01459419071678739,0.12340407562442124 +/- 0.0015245732776892138
infinity_dataset,37.40337778858375 +/- 0.10330573087748676,66.8323943915544 +/- 0.11203988195040977,7.432398657966405 +/- 0.011709469972298193,67.06685789818876 +/- 0.08408454961440862,4.424248000234366 +/- 0.016263716738837683,38.66565406899899 +/- 0.012281161661721047,65.8855235906085 +/- 0.051852276494028314,68.70147709518206 +/- 0.5276924438783958,0.05338847900275141 +/- 0.0009837821843557944,inf +/- nan,0.07056903222110122 +/- 0.0015413204800113318,0.1218352026073262 +/- 0.0018767048248250645
