,validity,connected_ball,robust,feasability,discriminative,plausable,similarity,combined,GS,CLUE,DICE,FACE
bubbles,0.718745231628418 +/- 0.0,0.7119688987731934 +/- 0.00031936197774484754,0.7363758087158203 +/- 0.0004342193133197725,0.00784944836050272 +/- 0.0013675530208274722,0.7471746206283569 +/- 0.0,0.7117946743965149 +/- 0.0,0.7260902523994446 +/- 0.0036662176717072725,0.11204250156879425 +/- 0.0729205384850502,0.13505356026800375 +/- 0.0,0.8250494003295898 +/- 0.0,1.3966350597185169 +/- 0.0,-1.0 +/- 0.0
l_dataset,1.6044870615005493 +/- 0.0,2.5404610633850098 +/- 0.002515563042834401,2.358924627304077 +/- 0.0035436952020972967,0.5527510046958923 +/- 0.0067889634519815445,2.6784262657165527 +/- 0.0,4.073220252990723 +/- 0.0,2.208096981048584 +/- 0.0008788445848040283,2.6083881855010986 +/- 0.0029813803266733885,2.5079261700878472 +/- 0.0,-1.0 +/- 0.0,1.3468695232436636 +/- 0.0,1.0287946462631226 +/- 0.0
one_moon,1.2670562267303467 +/- 0.0,0.04763471335172653 +/- 0.015873245894908905,1.188737154006958 +/- 0.024400828406214714,0.03330866992473602 +/- 0.006087434012442827,7.414759635925293 +/- 4.76837158203125e-07,0.07409416139125824 +/- 0.0,0.09514959901571274 +/- 0.0031972690485417843,0.035932790488004684 +/- 0.015060605481266975,2.4292708007642867 +/- 0.0,1.1027806758880616 +/- 0.006020842580114044,0.7355011711200541 +/- 0.5260135788062063,0.02939420621842146 +/- 0.019727694594459087
ring_dataset,0.10857923328876495 +/- 0.0,0.14757083356380463 +/- 0.01943250373005867,0.030014734715223312 +/- 0.013457405380904675,0.15085497498512268 +/- 0.01596997305750847,0.07039954513311386 +/- 0.0,0.14850865304470062 +/- 0.0,0.07407684624195099 +/- 0.005648361518979073,0.17740881443023682 +/- 0.014393312856554985,0.04246984782874765 +/- 0.0,0.05402853786945343 +/- 0.01624924713893471,0.1382164151122988 +/- 0.04527149031104501,0.09241156578063965 +/- 0.047557689198643116
bubbles_noisy,1.2032651901245117 +/- 0.0,0.9638031125068665 +/- 0.018807318061590195,1.1462920904159546 +/- 0.006104808300733566,0.027914654463529587 +/- 0.0024799841921776533,2.0906870365142822 +/- 0.0,1.1260124444961548 +/- 0.0,1.0371911525726318 +/- 0.0024195171426981688,0.4102293848991394 +/- 0.009944838471710682,0.09734031996224435 +/- 0.0,-1.0 +/- 0.0,3.1181073797251093 +/- 0.0,0.0 +/- 0.0
two_moon,0.02997228130698204 +/- 0.0,0.034807734191417694 +/- 0.007921582087874413,0.02959769032895565 +/- 0.00871136225759983,0.035945720970630646 +/- 0.01017453707754612,0.047567907720804214 +/- 0.0,0.01309086661785841 +/- 0.0,0.02601945772767067 +/- 0.010893959552049637,0.0451061949133873 +/- 0.0018660647328943014,0.04408888723899344 +/- 0.0,0.02062251642346382 +/- 0.007742269057643393,0.48978113577106186 +/- 0.03860938602971749,0.03695215322077274 +/- 0.033100517920718366
infinity_dataset,0.8885964155197144 +/- 0.0,0.20331378281116486 +/- 0.006593992002308369,1.411942720413208 +/- 0.0014405891997739673,0.7395628094673157 +/- 0.00840641837567091,1.4596465826034546 +/- 0.0,0.07654476165771484 +/- 0.0,0.2780168652534485 +/- 0.003754513571038842,0.7244584560394287 +/- 0.009867895394563675,0.01802999605943328 +/- 0.0,-1.0 +/- 0.0,0.6595713620226725 +/- 1.8821328300999696e-05,0.010527444956824183 +/- 0.004607971850782633
