,validity,connected_ball,robust,feasability,discriminative,plausable,similarity,combined,GS,CLUE,DICE,FACE
bubbles,3.708175533008762 +/- 0.7046236029354765,5.00175133519806 +/- 0.015603508979982547,5.008774786815048 +/- 0.006080185320917862,67.61383362899069 +/- 0.08896910952840471,3.394526866776869 +/- 0.006835723851326934,3.423670279583894 +/- 0.007856458516777702,5.053454894991591 +/- 0.030115033007339097,68.91046692556702 +/- 0.06134490868138703,0.07122115599922836 +/- 0.015210797282357236,1.2025948737747967 +/- 0.2639553290677084,0.09917349959723651 +/- 0.02097819164398922,inf +/- nan
l_dataset,3.0141519802389665 +/- 0.517469594048572,4.092256332444959 +/- 0.010316707463307448,4.113723405823111 +/- 0.012007509458623925,68.2970686766319 +/- 0.11174515925733763,2.793145280214958 +/- 0.005071860611247425,2.812262978614308 +/- 0.0038491804742631277,4.072960958629847 +/- 0.00714837167391296,5.187399345822632 +/- 0.016288148524514105,0.16763002201914787 +/- 0.037832934351732676,inf +/- nan,0.09688014639541506 +/- 0.018592116011249264,0.13681743538472801 +/- 0.012868709320964766
one_moon,0.3606835535960272 +/- 0.000898360050796587,0.5301757982000709 +/- 0.0009028990700880531,0.5322907340014353 +/- 0.0010172309331822344,0.8570284465793521 +/- 0.02017413814179537,0.36099184500053527 +/- 0.00030599244729883756,0.3643030140083283 +/- 0.0011150196294847062,0.5256549982121215 +/- 0.0005710055279215052,0.9123159775743261 +/- 0.034584844352510274,0.035877111623995005 +/- 0.00889128361723704,1.3176618980243802 +/- 0.2982971392807302,0.08770063037518412 +/- 0.018682360153746504,0.12339669743087142 +/- 0.008140843877958373
ring_dataset,0.5987337340135127 +/- 0.0038041729147162318,0.5998279830208049 +/- 0.04405256776027745,0.581844313023612 +/- 0.0004984428210120035,0.37449967241846027 +/- 0.0055904039322886645,0.39318630115594716 +/- 0.0007259321415255699,0.39634123200085014 +/- 0.00028781239070987155,0.5742891434114427 +/- 0.0003615899142399328,0.308439987199381 +/- 0.00040663528397517635,0.032837360980920494 +/- 0.007166956987961791,1.2307409233879298 +/- 0.19543265550924988,0.08138120237272232 +/- 0.01433861445217801,0.12852569962851704 +/- 0.00585873127763229
bubbles_noisy,1.4882028697989882 +/- 0.27792965559901406,1.8847566351760179 +/- 0.0035878548334744055,1.890169056202285 +/- 0.0013349225590209542,68.25859496940393 +/- 0.055912968975688454,1.2772921887692064 +/- 0.0011215045670492352,1.2891599778318779 +/- 0.0005754008044927762,1.8648153990274294 +/- 0.002365288866601068,69.34847401941661 +/- 0.19291809571696103,0.06390548939816654 +/- 0.0009299124498959174,inf +/- nan,0.08977833716198802 +/- 0.00044099223426148073,0.1464401975972578 +/- 0.006345525324044198
two_moon,0.22035316042602063 +/- 0.00038327558195304877,0.3256277889944613 +/- 0.0007430146778689347,0.25652951980009675 +/- 0.05194183444376188,66.8339299567975 +/- 0.33378330013307217,0.14291848302818835 +/- 0.0001402622539909501,0.1438151007751003 +/- 9.958878697558684e-05,0.2071457922225818 +/- 0.00017350969121332686,0.16370236419606954 +/- 0.008514958861782463,0.030798135418444873 +/- 0.005961338118771672,1.0271417264128104 +/- 0.0037508547945680325,0.08596630038227886 +/- 0.011461398638694558,0.13058215277269483 +/- 0.009355074932171206
infinity_dataset,0.8376981656067073 +/- 0.0017158179682453182,1.2408590331906453 +/- 0.003763084944527709,1.242233374947682 +/- 0.0007693840481605592,1.576382468175143 +/- 0.009221864033817717,0.8433463219553232 +/- 0.001416147550226571,0.847602094616741 +/- 0.00013993285109306666,1.230315533815883 +/- 0.0006895837990802682,0.8689384154044092 +/- 0.006266785160877437,0.059874076815322044 +/- 0.012508153997094365,inf +/- nan,0.07852826120797544 +/- 0.014286648920623434,0.12743314739782363 +/- 0.0031582134739273236
