dataset,method,instability,invalidity,dissimilarity,dissparsity,implausability,discriminative_power
fico,discriminative,491143744.0,0.016754865646362305,464596672.0,0.9982608556747437,47717344.0,0.7555831074714661
fico,plausable,33012448.0,0.3496331572532654,28238480.0,0.997879147529602,4029100.0,0.7449167966842651
fico,similarity,1375155584.0,0.48534953594207764,1644147584.0,0.9977116584777832,49591024.0,0.7121923565864563
fico,combined,984425920.0,0.041808582842350006,387870336.0,0.9982608556747437,49318448.0,0.756217360496521
fico,CLUE,,0.4514203369617462,10365139.0,1.0,6337108.0,0.7345626354217529
fico,DICE,24043484.0,0.416926771402359,20130438.0,0.8539130687713623,402400.71875,0.754334032535553
fico,GS,,0.49025440216064453,28886596.0,1.0,1782714.25,0.7435404658317566
german,validity,642127680.0,0.009170508943498135,686369856.0,0.3296721279621124,4382662.5,0.6410666704177856
german,connected_ball,1017436480.0,0.007520550396293402,748965824.0,0.3296721279621124,4560793.0,0.6424333453178406
german,robust,2047471104.0,0.0014344633091241121,1701794560.0,0.3296721279621124,639605568.0,0.6633000373840332
german,feasability,2430877696.0,0.00017303825006820261,5176485888.0,0.3296721279621124,2969257728.0,0.6667666435241699
german,discriminative,3537557248.0,0.00017809034034144133,2338121728.0,0.3296721279621124,215551584.0,0.6553666591644287
german,plausable,2729360128.0,0.3042563498020172,749802496.0,0.3310564458370209,15427957.0,0.6106481552124023
german,similarity,4897231872.0,0.21668250858783722,5232406528.0,0.32887253165245056,100646040.0,0.662891149520874
german,combined,1742823296.0,0.0015663468511775136,570878656.0,0.3296721279621124,17419576.0,0.6602333188056946
german,CLUE,,,,,,
german,GS,,0.45334064960479736,14041308.0,0.5080104470252991,174800.78125,0.6327272653579712
home,validity,6.384978771209717,0.36803025007247925,138.79173278808594,1.0,132.48919677734375,0.839044451713562
home,connected_ball,8.46662425994873,0.36840710043907166,136.83558654785156,1.0,87.27629089355469,0.839044451713562
home,robust,6.044983863830566,0.3668927848339081,142.76913452148438,1.0,137.83572387695312,0.839044451713562
home,feasability,64.46771240234375,0.37557917833328247,121.46744537353516,1.0,69.25926971435547,0.839044451713562
home,discriminative,6.297152042388916,0.36685165762901306,142.0685272216797,1.0,135.67723083496094,0.839044451713562
home,plausable,74.37162017822266,0.39648500084877014,100.03032684326172,1.0,11.455307006835938,0.839044451713562
home,similarity,31.17793083190918,0.37068307399749756,128.9896697998047,1.0,87.78964233398438,0.839044451713562
home,combined,74.03572845458984,0.37200847268104553,126.5757827758789,1.0,84.69441223144531,0.839044451713562
home,DICE,3.20361065864563,0.3879493474960327,2.659421920776367,0.9061833620071411,0.8229017853736877,0.8021379113197327
home,FACE,2.3211162090301514,0.43113264441490173,1.8761978149414062,0.9317697286605835,0.6305705904960632,0.8087939023971558
home,GS,,,,,,
titanic,validity,378434528.0,0.1235070526599884,277837696.0,0.652222216129303,42880724.0,0.7329104542732239
titanic,connected_ball,587848448.0,0.10789057612419128,417051840.0,0.652222216129303,42893248.0,0.7347761392593384
titanic,robust,479622304.0,0.12060621380805969,464304576.0,0.652222216129303,40132460.0,0.7350000143051147
titanic,feasability,4577181696.0,0.17199616134166718,4539024896.0,0.652222216129303,36064212.0,0.7237313985824585
titanic,discriminative,402441312.0,0.12316003441810608,305052928.0,0.652222216129303,42456248.0,0.7326866388320923
titanic,plausable,169792272.0,0.28229138255119324,94595208.0,0.6602809429168701,12165196.0,0.7108423709869385
titanic,similarity,4617730048.0,0.20486094057559967,4555254784.0,0.652222216129303,42823184.0,0.7208208441734314
titanic,combined,1805873792.0,0.14244501292705536,1689129984.0,0.652222216129303,52130740.0,0.7410820722579956
titanic,CLUE,,,,,,
