dataset,method,instability,invalidity,dissimilarity,dissparsity,implausability,discriminative_power,proportion_counterfactuals
churn,feasability,19133492.0,0.13489234447479248,94451016.0,0.2657746374607086,17221180.0,0.6257299780845642,1.0
churn,discriminative,18695216.0,0.13509243726730347,96592312.0,0.2657746374607086,23274636.0,0.6294199824333191,1.0
churn,plausable,20088724.0,0.19247448444366455,93432280.0,0.2647281885147095,15720844.0,0.6221075057983398,1.0
churn,similarity,55256920.0,0.15199042856693268,111848072.0,0.26573729515075684,27395976.0,0.6340407729148865,1.0
churn,combined,18876250.0,0.13163825869560242,94967624.0,0.2663379907608032,24112038.0,0.62322998046875,1.0
churn,CLUE,,,,,,,0.0
churn,DICE,9662445.0,0.36304453015327454,73887496.0,0.2653521001338959,500000.46875,0.7417099475860596,1.0
churn,FACE,,,,,,,0.0
churn,GS,11363364.0,0.4730856418609619,85666176.0,0.2864788770675659,5965838.5,0.5979800224304199,1.0
compas,validity,25364928.0,0.130737766623497,781180416.0,0.5270588397979736,99218080.0,0.7855445146560669,1.0
compas,connected_ball,28089954.0,0.13027949631214142,536718368.0,0.5244581699371338,80250056.0,0.7868819236755371,1.0
compas,robust,691487040.0,0.1383386254310608,3022240512.0,0.5270588397979736,2021891072.0,0.7833026647567749,1.0
compas,feasability,582577984.0,0.1369231939315796,2046978560.0,0.5230866074562073,1105192064.0,0.7771515250205994,1.0
compas,discriminative,26384250.0,0.12734217941761017,789249984.0,0.5270588397979736,105971536.0,0.7853915691375732,1.0
compas,plausable,18409926.0,0.1965513527393341,704195968.0,0.5270588397979736,41384008.0,0.7909741401672363,1.0
compas,similarity,88877536.0,0.1935093253850937,1307625600.0,0.5270588397979736,320342720.0,0.7801654934883118,1.0
compas,combined,196365328.0,0.1362726092338562,2609045760.0,0.5270588397979736,1586774144.0,0.7835098505020142,1.0
compas,CLUE,,,,,,,0.0
compas,DICE,156665392.0,0.42616865038871765,1363585792.0,0.44470587372779846,16128568.0,0.7580370306968689,1.0
compas,FACE,55267968.0,0.38383749127388,767428544.0,0.44294121861457825,0.0,0.7865045666694641,1.0
compas,GS,,0.6364148259162903,356957920.0,0.5721925497055054,33516990.0,0.7804420590400696,1.0
diabetes,validity,0.9436370730400085,0.13790063560009003,2.6540372371673584,0.9795918464660645,0.6321410536766052,0.708984911441803,1.0
diabetes,connected_ball,0.9183098077774048,0.1381155252456665,2.6135950088500977,0.9800000190734863,0.6369601488113403,0.7150216698646545,1.0
diabetes,robust,0.8672111630439758,0.12933160364627838,2.7109060287475586,0.9795918464660645,0.7419809103012085,0.7115468978881836,1.0
diabetes,feasability,0.9122183322906494,0.13006353378295898,2.7197322845458984,0.9800000190734863,0.7292819023132324,0.7193505764007568,1.0
diabetes,discriminative,0.9455401301383972,0.13679127395153046,2.6578385829925537,0.9795918464660645,0.6343013644218445,0.7092940807342529,1.0
diabetes,plausable,0.8428438305854797,0.2057134509086609,2.526306390762329,0.98046875,0.486799955368042,0.6988635659217834,1.0
diabetes,similarity,1.7614442110061646,0.15070803463459015,3.685641288757324,0.9798387289047241,1.637628197669983,0.7021831274032593,1.0
diabetes,combined,0.8660430312156677,0.12939336895942688,2.7169127464294434,0.9795918464660645,0.7573584914207458,0.7146391868591309,1.0
diabetes,CLUE,,,,,,,0.0
diabetes,DICE,0.930104672908783,0.3293798863887787,3.017974615097046,0.9387500286102295,1.0154777765274048,0.7307359576225281,1.0
diabetes,FACE,0.6721534132957458,0.35435751080513,2.151923418045044,0.9350000023841858,0.0,0.6893506050109863,1.0
diabetes,GS,,0.49639368057250977,2.180272102355957,0.9732142686843872,0.406417578458786,0.692578911781311,1.0
fico,validity,8640289.0,0.14142189919948578,41478260.0,0.9986956715583801,29920448.0,0.731182336807251,1.0
fico,connected_ball,72266272.0,0.14210933446884155,38939672.0,0.9986553192138672,30347652.0,0.7284631729125977,1.0
fico,robust,99724728.0,0.14476808905601501,199295408.0,0.9986956715583801,186475440.0,0.73307204246521,1.0
fico,feasability,286908736.0,0.16862012445926666,924932480.0,0.9986956715583801,893987200.0,0.7323868274688721,1.0
fico,discriminative,8432596.0,0.13873635232448578,41526700.0,0.9986956715583801,29850608.0,0.7310580611228943,1.0
fico,plausable,4898869.0,0.3345864713191986,25711544.0,0.9989769458770752,16070060.0,0.7304202318191528,1.0
fico,similarity,218561872.0,0.1950589120388031,1107974016.0,0.9986824989318848,1083251200.0,0.7289208173751831,1.0
fico,combined,50699568.0,0.1393769234418869,65376256.0,0.9986956715583801,50218948.0,0.7334384322166443,1.0
fico,CLUE,,0.4528072774410248,11458694.0,1.0,1693958.375,0.7072936296463013,1.0
fico,DICE,3207016.0,0.3943949341773987,15017393.0,0.8456522226333618,4182608.75,0.730576753616333,1.0
fico,FACE,878997.8125,0.4336893558502197,8739133.0,0.826956570148468,0.0,0.7233843207359314,1.0
fico,GS,,0.4913385510444641,26192852.0,0.9989129900932312,16335797.0,0.7178577184677124,1.0
german,validity,49905120.0,0.14373914897441864,443443296.0,0.3240983188152313,408983552.0,0.6540666818618774,1.0
german,connected_ball,67070220.0,0.14368055760860443,391861120.0,0.3247540593147278,363824544.0,0.6539333462715149,1.0
german,robust,38520588.0,0.14278994500637054,419854784.0,0.327377051115036,383854848.0,0.6544999480247498,1.0
german,feasability,84270288.0,0.14324356615543365,484369568.0,0.3240983188152313,457038560.0,0.6544666886329651,1.0
german,discriminative,49715984.0,0.14286860823631287,448079456.0,0.3240983188152313,413522944.0,0.654033362865448,1.0
german,plausable,46552328.0,0.26099491119384766,233376400.0,0.32937631011009216,206342784.0,0.6370497941970825,1.0
german,similarity,515281600.0,0.23228894174098969,2042574464.0,0.3318672776222229,2014002816.0,0.6600000262260437,1.0
german,combined,44000208.0,0.1425378918647766,401809984.0,0.32672131061553955,368037248.0,0.6544999480247498,1.0
german,CLUE,,,,,,,0.0
german,DICE,1900734.375,0.30604466795921326,14185716.0,0.31147539615631104,185715.15625,0.7479000091552734,1.0
german,FACE,1406553.0,0.411835253238678,13714287.0,0.3103278577327728,0.0,0.6703332662582397,1.0
german,GS,,0.47839826345443726,23448430.0,0.4218226671218872,7270767.5,0.6490322947502136,1.0
home,validity,4.675350666046143,0.34904271364212036,212.4029998779297,0.9827587008476257,210.6947021484375,0.8259552121162415,1.0
home,connected_ball,10.433727264404297,0.3474878966808319,208.20977783203125,0.9824562072753906,206.49961853027344,0.829777181148529,1.0
home,robust,4.5162811279296875,0.3464623987674713,222.1677703857422,0.9827587008476257,220.45797729492188,0.8258387446403503,1.0
home,feasability,26.726612091064453,0.3618769347667694,179.71517944335938,0.9827587008476257,178.08120727539062,0.8238583207130432,1.0
home,discriminative,4.5305399894714355,0.3472152650356293,218.23622131347656,0.9827587008476257,216.52798461914062,0.8259552121162415,1.0
home,plausable,35.22726058959961,0.38838303089141846,150.40907287597656,0.9827587008476257,148.82754516601562,0.8238583207130432,1.0
home,similarity,17.302242279052734,0.3580263555049896,173.82679748535156,0.9827587008476257,172.11276245117188,0.8258387446403503,1.0
home,combined,4.825555324554443,0.34701433777809143,219.21339416503906,0.9827587008476257,217.5030975341797,0.8258387446403503,1.0
home,DICE,0.7995903491973877,0.38730067014694214,2.7071444988250732,0.914712131023407,0.9718311429023743,0.8032472729682922,1.0
home,FACE,0.7556119561195374,0.4295913577079773,1.9948484897613525,0.8912580609321594,0.0,0.8048608899116516,1.0
home,GS,,,,,,,0.0
titanic,validity,25873030.0,0.1619856059551239,218875088.0,0.6077777743339539,146284192.0,0.7202984690666199,1.0
titanic,connected_ball,52179724.0,0.1514028012752533,294107264.0,0.6071829795837402,215994512.0,0.7206768989562988,1.0
titanic,robust,2462154240.0,0.21943186223506927,12966110208.0,0.6065759658813477,12885138432.0,0.7348842024803162,1.0
titanic,feasability,1172940928.0,0.18873029947280884,5604300288.0,0.6105263233184814,5518980608.0,0.7316182255744934,1.0
titanic,discriminative,25121748.0,0.15881358087062836,221821936.0,0.6077777743339539,148595040.0,0.7206715941429138,1.0
titanic,plausable,12984417.0,0.2811022698879242,105195784.0,0.6026570200920105,42771676.0,0.722298800945282,1.0
titanic,similarity,661754176.0,0.19569331407546997,4470662144.0,0.6023391485214233,4407504896.0,0.720267117023468,1.0
titanic,combined,2856745984.0,0.2411683201789856,19408330752.0,0.6074074506759644,19324653568.0,0.7457711100578308,1.0
titanic,CLUE,,,,,,,0.0
titanic,DICE,4122514.0,0.3217284083366394,75875008.0,0.5688889026641846,2975006.5,0.7501493096351624,1.0
titanic,FACE,5235740.0,0.2983492910861969,63749996.0,0.5666666626930237,0.0,0.734738826751709,1.0
titanic,GS,,0.4940342605113983,115271656.0,0.7139208316802979,45984888.0,0.7037227749824524,1.0
breast_cancer,validity,32.39222717285156,0.08497313410043716,61.149600982666016,1.0,58.303497314453125,0.7946199178695679,1.0
breast_cancer,connected_ball,28.401803970336914,0.08518127351999283,54.82786178588867,1.0,51.9057731628418,0.7946199178695679,1.0
breast_cancer,robust,35.15275955200195,0.08211586624383926,71.32953643798828,1.0,68.36527252197266,0.7943274974822998,1.0
breast_cancer,feasability,526.9395141601562,0.0857015997171402,79.67535400390625,1.0,76.77477264404297,0.7949122786521912,1.0
breast_cancer,discriminative,33.30061340332031,0.08231759816408157,63.0698356628418,1.0,60.21027374267578,0.7946199178695679,1.0
breast_cancer,plausable,62.61605453491211,0.09285306930541992,102.46820068359375,1.0,99.8862533569336,0.7953801155090332,1.0
breast_cancer,similarity,655.6344604492188,0.10414721071720123,706.3815307617188,1.0,703.996337890625,0.81163090467453,1.0
breast_cancer,combined,36.995052337646484,0.08187702298164368,73.79948425292969,1.0,70.85200500488281,0.7943859696388245,1.0
breast_cancer,CLUE,,,,,,,0.0
breast_cancer,DICE,0.5792329907417297,0.19544221460819244,2.128960609436035,0.9426666498184204,0.47792574763298035,0.7332748174667358,1.0
breast_cancer,FACE,0.6018002033233643,0.1703554391860962,2.118419885635376,0.9963333010673523,0.0,0.7595321536064148,1.0
breast_cancer,GS,,0.48540300130844116,66.0391845703125,1.0,63.83397674560547,0.6246246099472046,1.0
boston_housing,validity,16496761.0,0.12241683900356293,208434848.0,0.9850148558616638,62497112.0,0.7997264862060547,1.0
boston_housing,connected_ball,14715608.0,0.12268988788127899,213370432.0,0.9850148558616638,50443848.0,0.8003246784210205,1.0
boston_housing,robust,17270622.0,0.11778991669416428,230950272.0,0.9850148558616638,67117768.0,0.7998974919319153,1.0
boston_housing,feasability,18476152.0,0.12250419706106186,218399360.0,0.9850148558616638,49282248.0,0.801606297492981,1.0
boston_housing,discriminative,16460604.0,0.11667055636644363,209101072.0,0.9850148558616638,63206280.0,0.7997264862060547,1.0
boston_housing,plausable,15073607.0,0.13070258498191833,189703248.0,0.9850148558616638,45762480.0,0.7996411323547363,1.0
boston_housing,similarity,49916112.0,0.13545635342597961,322738944.0,0.9827784299850464,148559248.0,0.8065593838691711,1.0
boston_housing,combined,18288018.0,0.11734961718320847,236597568.0,0.9850148558616638,68492352.0,0.7987012267112732,1.0
boston_housing,CLUE,,,,,,,0.0
boston_housing,DICE,8355790.0,0.3438723385334015,139276656.0,0.863136887550354,1982215.875,0.7811859250068665,1.0
boston_housing,FACE,18205986.0,0.2683904767036438,146274112.0,0.8851149082183838,0.0,0.8182673454284668,1.0
boston_housing,GS,,0.477693647146225,140749600.0,1.0,49083088.0,0.7749202847480774,1.0
