dataset,method,instability,invalidity,dissimilarity,dissparsity,implausability,discriminative_power,proportion_counterfactuals
adult,validity,1924738560.0,0.17045800387859344,19165609984.0,0.028834950178861618,18424950784.0,0.8231251239776611,1.0
adult,connected_ball,4340171264.0,0.1852283775806427,13325829120.0,0.028615230694413185,11701049344.0,0.8081076145172119,1.0
adult,robust,1817891840.0,0.1572224199771881,22585331712.0,0.029611648991703987,21267439616.0,0.8065012097358704,1.0
adult,feasability,3991396608.0,0.24405036866664886,13524561920.0,0.02867811731994152,11658881024.0,0.804300844669342,1.0
adult,discriminative,1896545664.0,0.15514157712459564,22139287552.0,0.028834950178861618,21288552448.0,0.8179956674575806,1.0
adult,plausable,3597548288.0,0.41231226921081543,11949314048.0,0.02970411628484726,9361193984.0,0.8225448131561279,1.0
adult,similarity,3406235648.0,0.25376105308532715,16611376128.0,0.029611648991703987,14586048512.0,0.8300082683563232,1.0
adult,combined,2424413184.0,0.14929264783859253,22326560768.0,0.029631875455379486,21013919744.0,0.8008646965026855,1.0
adult,CLUE,0.0,0.3821205794811249,252600074240.0,1.0,5942781440.0,0.8617442846298218,1.0
adult,DICE,359454244864.0,0.15059277415275574,1229356400640.0,0.11728156358003616,222462820352.0,0.8418067097663879,1.0
adult,FACE,13481570304.0,0.47927093505859375,113163739136.0,0.10757281631231308,0.0,0.8276640176773071,1.0
adult,GS,,0.4952808618545532,47826006016.0,0.200970858335495,2656765440.0,0.8061766028404236,1.0
bank,validity,79108168.0,0.13721056282520294,268950720.0,0.9980000257492065,234440896.0,0.5368955135345459,1.0
bank,connected_ball,17955704.0,0.13204830884933472,255922624.0,0.9980000257492065,234379984.0,0.5370795726776123,1.0
bank,robust,29539330.0,0.12073996663093567,223040976.0,0.9980000257492065,206292288.0,0.5369659662246704,1.0
bank,feasability,45615140.0,0.08813237398862839,471294112.0,0.9980000257492065,401108128.0,0.5428906083106995,1.0
bank,discriminative,79119488.0,0.1253906935453415,271522592.0,0.9980000257492065,235586128.0,0.5368928909301758,1.0
bank,plausable,42695652.0,0.13442645967006683,219094304.0,0.9980000257492065,197854672.0,0.5363810658454895,1.0
bank,similarity,201561696.0,0.1478971540927887,866779712.0,0.9979798197746277,565276352.0,0.5395380258560181,1.0
bank,combined,23670440.0,0.11142950505018234,339603424.0,0.9979798197746277,316392672.0,0.5334424376487732,1.0
bank,CLUE,,,,,,,0.0
bank,DICE,47640004.0,0.4197898805141449,441074496.0,0.715999960899353,334278624.0,0.7826616168022156,1.0
bank,FACE,1859693.5,0.28399813175201416,2939054592.0,0.9019999504089355,0.0,0.5158860087394714,1.0
bank,GS,3255594.25,0.46338313817977905,98934336.0,0.9979798197746277,83427504.0,0.5683479309082031,1.0
churn,validity,18539618.0,0.14377246797084808,96204728.0,0.2657746374607086,23043440.0,0.6291099786758423,1.0
churn,connected_ball,20425774.0,0.1385210007429123,92221480.0,0.2657746374607086,17930060.0,0.6302900314331055,1.0
churn,robust,18627056.0,0.13266099989414215,95039920.0,0.2657746374607086,24524248.0,0.6260899901390076,1.0
