,validity,connected_ball,robust,feasability,discriminative,plausable,similarity,combined,GS,CLUE,DICE,FACE
bubbles,0.4726094603538513 +/- 0.0,0.4730585217475891 +/- 4.935995093546808e-05,0.38733237981796265 +/- 1.889312989078462e-05,0.998668372631073 +/- 6.150379249447724e-06,0.39749783277511597 +/- 0.0,0.473214715719223 +/- 2.9802322387695312e-08,0.4436812400817871 +/- 0.0011910550529137254,0.691057562828064 +/- 0.05597386509180069,0.49742668867111206 +/- 0.0,0.43884992599487305 +/- 0.0,0.424885094165802 +/- 0.0,-1.0 +/- 0.0
l_dataset,0.012607097625732422 +/- 0.0,0.0009982704650610685 +/- 4.7144220616246457e-07,0.000998640083707869 +/- 9.083403824661218e-07,0.7290199995040894 +/- 0.0025458717718720436,0.00099945068359375 +/- 0.0,0.0009980201721191406 +/- 0.0,0.2875301241874695 +/- 0.00035462333471514285,0.0009985804790630937 +/- 5.871586949979246e-07,0.49679630994796753 +/- 0.0,-1.0 +/- 0.0,0.007912635803222656 +/- 0.0,0.027038216590881348 +/- 0.0
one_moon,0.01225137710571289 +/- 0.0,0.020388413220643997 +/- 0.0002514901279937476,0.0122871994972229 +/- 5.890314241696615e-06,0.020306086167693138 +/- 0.0003183022781740874,0.32461225986480713 +/- 0.0,0.017159104347229004 +/- 0.0,0.14340052008628845 +/- 0.0007244527223519981,0.02232830598950386 +/- 0.000306782458210364,0.4994301199913025 +/- 0.0,0.38858015537261964 +/- 0.002010726928710937,0.10181342363357544 +/- 0.04412569999694824,0.46732923984527586 +/- 0.014227581024169923
ring_dataset,0.08805447816848755 +/- 0.0,0.10782977193593979 +/- 0.0019160768715664744,0.07998187839984894 +/- 0.0002410074375802651,0.10681404173374176 +/- 0.0010727971093729138,0.07839184999465942 +/- 0.0,0.29393595457077026 +/- 0.0,0.23493707180023193 +/- 0.002579876221716404,0.108650341629982 +/- 0.0013618776574730873,0.49783074855804443 +/- 0.0,0.24485059976577758 +/- 0.0396517319482283,0.3611312389373779 +/- 0.031067609309658878,0.4390512466430664 +/- 0.018316332483737163
bubbles_noisy,0.00099945068359375 +/- 0.0,0.000984752201475203 +/- 1.2466156476875767e-05,0.0009837746620178223 +/- 1.7577975086169317e-05,0.9928361177444458 +/- 0.00012005675671389326,0.28293532133102417 +/- 0.0,0.0009687542915344238 +/- 0.0,0.47167420387268066 +/- 0.001196852419525385,0.7366401553153992 +/- 0.00432792492210865,0.49370211362838745 +/- 0.0,0.4122151732444763 +/- 0.0,0.0008012652397155762 +/- 0.0,0.3707156777381897 +/- 0.0
two_moon,0.00883495807647705 +/- 0.0,0.002831578254699707 +/- 0.003673345549032092,0.0009694099426269531 +/- 1.544627593830228e-05,0.9939277768135071 +/- 3.293804547865875e-05,0.008942008018493652 +/- 0.0,0.011139273643493652 +/- 0.0,0.09720927476882935 +/- 0.0019717977847903967,0.000994527363218367 +/- 1.8653873894436401e-06,0.48991715908050537 +/- 0.0,0.1315297842025757 +/- 0.0033659073369683985,0.07907055616378784 +/- 0.09809470321678791,0.33232280015945437 +/- 0.0378004378913699
infinity_dataset,0.0018543004989624023 +/- 0.0,0.2598268389701843 +/- 0.00562660489231348,0.0009980201721191406 +/- 2.260580231450149e-06,0.03873196989297867 +/- 0.0005429055890999734,0.00099867582321167 +/- 0.0,0.37581169605255127 +/- 0.0,0.21124772727489471 +/- 0.00044682258157990873,0.04099484533071518 +/- 0.0002652642724569887,0.49921977519989014 +/- 0.0,-1.0 +/- 0.0,0.023558950424194335 +/- 8.821487426757813e-07,0.498950457572937 +/- 0.0002936840057373047
