,validity,connected_ball,robust,feasability,discriminative,plausable,similarity,combined,GS,CLUE,DICE,FACE
bubbles,1.2075880765914917 +/- 0.0,1.1965974569320679 +/- 3.156742241117172e-05,1.2073614597320557 +/- 0.0001439909974578768,0.4906819462776184 +/- 0.001720536150969565,1.2705135345458984 +/- 0.0,1.1740776300430298 +/- 0.0,1.1862480640411377 +/- 0.0007109138532541692,0.5139509439468384 +/- 0.0007737558335065842,0.6857146068833754 +/- 0.0,1.2872514724731445 +/- 0.0,2.414906247313553 +/- 0.0,-1.0 +/- 0.0
l_dataset,7.945819854736328 +/- 0.0,11.843223571777344 +/- 0.0020291765686124563,11.675966262817383 +/- 0.0007096739136613905,6.69873571395874 +/- 0.0014039084780961275,11.764531135559082 +/- 0.0,13.32734203338623 +/- 0.0,6.490048408508301 +/- 0.0001548088330309838,11.865496635437012 +/- 0.002211264567449689,4.828064420216845 +/- 0.0,-1.0 +/- 0.0,4.646414690832619 +/- 0.0,5.790297031402588 +/- 0.0
one_moon,5.521349906921387 +/- 0.0,5.400043487548828 +/- 0.03568769618868828,5.964920520782471 +/- 0.005828673020005226,5.3863139152526855 +/- 0.025209473446011543,8.475123405456543 +/- 0.0,5.1562066078186035 +/- 0.0,5.700599670410156 +/- 0.0035960201639682055,5.249035358428955 +/- 0.033241912722587585,2.739029318813852 +/- 0.0,2.3959255695343016 +/- 0.006482271654678133,2.8847605674798658 +/- 2.1446422069336153,5.206600093841553 +/- 0.13053819669098346
ring_dataset,4.892814636230469 +/- 0.0,5.15689754486084 +/- 0.004598876461386681,5.0094194412231445 +/- 0.005110492929816246,5.148329734802246 +/- 0.012189834378659725,4.906249046325684 +/- 0.0,2.25219988822937 +/- 0.0,2.824735403060913 +/- 0.0021812033373862505,5.146815299987793 +/- 0.002713993191719055,2.060423600622093 +/- 0.0,3.8661287307739256 +/- 0.11047575846722754,5.91363458900628 +/- 1.4251593361563437,2.1478065490722655 +/- 0.16572678001321295
bubbles_noisy,4.867038726806641 +/- 0.0,6.438743591308594 +/- 0.015320295467972755,6.218169689178467 +/- 0.004399128258228302,0.06464049965143204 +/- 0.014454332180321217,2.7320542335510254 +/- 0.0,6.420485496520996 +/- 4.76837158203125e-07,1.6625162363052368 +/- 0.0009281859965994954,0.8880246877670288 +/- 0.0068398951552808285,1.5080252644755718 +/- 0.0,-1.0 +/- 0.0,3.7382662851215187 +/- 0.0,1.6241036653518677 +/- 0.0
two_moon,2.4531219005584717 +/- 0.0,2.489251136779785 +/- 0.0170858446508646,3.8791632652282715 +/- 0.029317360371351242,0.08935872465372086 +/- 0.0263222623616457,2.5457711219787598 +/- 0.0,2.3008084297180176 +/- 0.0,1.630305290222168 +/- 0.003007353749126196,3.6332526206970215 +/- 0.5771698951721191,1.4304048032563523 +/- 0.0,2.03202805519104 +/- 0.0009896278381347657,2.909262328450699 +/- 0.18083844376797276,1.472252321243286 +/- 0.07331194877624511
infinity_dataset,4.312097549438477 +/- 0.0,3.4016871452331543 +/- 0.011210737749934196,5.50573205947876 +/- 0.004051344469189644,3.4012508392333984 +/- 0.008536734618246555,5.416451454162598 +/- 0.0,2.376267433166504 +/- 0.0,2.5081636905670166 +/- 0.000740255112759769,3.3673107624053955 +/- 0.003944280557334423,2.4510805671780296 +/- 0.0,-1.0 +/- 0.0,3.208915220980482 +/- 2.3671086828613856e-05,2.1507585525512694 +/- 0.0021396636962890624
