,validity,connected_ball,robust,feasability,discriminative,plausable,similarity,combined,GS,CLUE,DICE,FACE
bubbles,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.5 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.7 +/- 0.0,-1.0 +/- 0.0
l_dataset,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.5 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.9 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-1.0 +/- 0.0,0.5 +/- 0.0,1.0 +/- 0.0
one_moon,0.5 +/- 0.0,1.0 +/- 0.0,0.5 +/- 0.0,1.0 +/- 0.0,0.5 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.9400000000000001 +/- 0.12000000000000002,1.0 +/- 0.0
ring_dataset,0.5 +/- 0.0,0.5 +/- 0.0,0.5 +/- 0.0,0.5 +/- 0.0,0.5 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.5 +/- 0.0,1.0 +/- 0.0,0.5 +/- 0.0,0.5 +/- 0.0,1.0 +/- 0.0
bubbles_noisy,0.5 +/- 0.0,0.5 +/- 0.0,0.5 +/- 0.0,0.62 +/- 0.039999999999999994,0.5 +/- 0.0,0.5 +/- 0.0,0.5 +/- 0.0,0.5 +/- 0.0,1.0 +/- 0.0,-1.0 +/- 0.0,0.5 +/- 0.0,1.0 +/- 0.0
two_moon,1.0 +/- 0.0,0.6 +/- 0.2,0.5 +/- 0.0,0.5 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.5 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,0.5 +/- 0.0,1.0 +/- 0.0
infinity_dataset,0.5 +/- 0.0,1.0 +/- 0.0,0.5 +/- 0.0,1.0 +/- 0.0,0.5 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0,-1.0 +/- 0.0,1.0 +/- 0.0,1.0 +/- 0.0
