,validity,connected_ball,robust,feasability,discriminative,plausable,similarity,combined,GS,CLUE,DICE,FACE
bubbles,0.9869806170463562 +/- 5.960464477539063e-08,0.9873045086860657 +/- 0.00012817395327147096,0.9870778322219849 +/- 7.136329804779962e-05,0.9913265109062195 +/- 0.0033048393670469522,0.9868882894515991 +/- 5.960464477539063e-08,0.9869392514228821 +/- 5.960464477539063e-08,0.9877998232841492 +/- 0.0004949378198944032,1.08694326877594 +/- 0.12059316784143448,0.9899756583944301 +/- 0.0,0.9868883490562439 +/- 0.0,4.017662283626523 +/- 0.0,-1.0 +/- 0.0
l_dataset,1.0057744979858398 +/- 0.0,0.8160532116889954 +/- 0.00269660959020257,0.8157064318656921 +/- 0.001454527024179697,0.8159200549125671 +/- 0.0012726709246635437,0.8140355348587036 +/- 5.960464477539063e-08,0.8148728609085083 +/- 0.0,0.8999085426330566 +/- 0.00044768970110453665,2.335167407989502 +/- 0.0027913637459278107,0.9027346975959866 +/- 0.0,-1.0 +/- 0.0,5.5344563392030395 +/- 0.0,10.665205955505371 +/- 0.0
one_moon,0.9046308398246765 +/- 0.0,0.9419926404953003 +/- 0.022411372512578964,0.9226564168930054 +/- 0.009616523049771786,0.9477893710136414 +/- 0.02079414203763008,0.9027950167655945 +/- 0.0,0.9027255773544312 +/- 5.960464477539063e-08,0.9075733423233032 +/- 0.0033326339907944202,0.9580557942390442 +/- 0.05011417344212532,0.9377093493156539 +/- 0.0,0.9027256369590759 +/- 0.0,3.622749597202163 +/- 1.6007782816914042,5.9565221786499025 +/- 0.31197875545707626
ring_dataset,0.7409318685531616 +/- 0.0,0.7640717625617981 +/- 0.01849432662129402,0.7556298971176147 +/- 0.009545811451971531,0.7613245248794556 +/- 0.00905575044453144,0.7412962913513184 +/- 0.0,0.7418781518936157 +/- 0.0,0.7446786761283875 +/- 0.0020767254754900932,0.7521880865097046 +/- 0.00882151909172535,1.1096940677219587 +/- 0.0,0.8713631510734559 +/- 0.07358737589984654,3.1178534092661585 +/- 2.049371035166686,1.3628180980682374 +/- 0.17814387307685153
bubbles_noisy,0.9218701124191284 +/- 0.0,0.9564411044120789 +/- 0.005261067301034927,0.9270650148391724 +/- 0.003397468477487564,0.9693117141723633 +/- 0.027276793494820595,0.9210333824157715 +/- 0.0,0.9278185963630676 +/- 0.0,0.9244122505187988 +/- 0.002438946859911084,0.926450252532959 +/- 0.001416911487467587,1.0324576427731298 +/- 0.0,-1.0 +/- 0.0,3.538019128123179 +/- 0.0,2.1321966648101807 +/- 0.0
two_moon,0.973971962928772 +/- 0.0,1.0142490863800049 +/- 0.015388243831694126,1.0103839635849 +/- 0.03031485341489315,1.0236424207687378 +/- 0.00512011768296361,0.9776335954666138 +/- 0.0,0.9851003885269165 +/- 0.0,0.9845531582832336 +/- 0.005092093255370855,1.0192300081253052 +/- 0.02075648307800293,1.022825068001867 +/- 0.0,0.973971962928772 +/- 0.0,2.2763384190932294 +/- 0.638458188664581,4.07781753540039 +/- 0.20593814849853517
infinity_dataset,0.9926055669784546 +/- 5.960464477539063e-08,1.0119777917861938 +/- 0.010187620297074318,1.006949782371521 +/- 0.0027827953454107046,1.0075112581253052 +/- 0.010446509346365929,1.0113857984542847 +/- 0.0,0.9925609827041626 +/- 5.960464477539063e-08,0.9938796162605286 +/- 0.0007663876167498529,1.011019229888916 +/- 0.01063538994640112,1.000588033905579 +/- 0.0,-1.0 +/- 0.0,1.8268773797827698 +/- 4.840754472290599e-06,2.908375644683838 +/- 0.2855269432067871
