dataset,method,instability,invalidity,dissimilarity,dissparsity,implausability,discriminative_power,proportion_counterfactuals
bank,FACE,62.557071685791016,0.39353886246681213,143.88600158691406,0.9010000824928284,0.0,0.5078881978988647,1.0
churn,FACE,,,,,,,0.0
compas,FACE,3.116969347000122,0.4012242555618286,11.380592346191406,0.4247059226036072,0.0,0.7806413769721985,1.0
diabetes,FACE,0.6468257308006287,0.44521644711494446,2.221231460571289,0.9424999952316284,0.0,0.6957141757011414,1.0
fico,FACE,0.6120408773422241,0.4298613369464874,2.389176607131958,0.8417391777038574,0.0,0.7252390384674072,1.0
home,FACE,,,,,,,0.0
titanic,FACE,0.6340690851211548,0.47852450609207153,3.3699049949645996,0.5877777934074402,0.0,0.7321641445159912,1.0
breast_cancer,FACE,0.8012582659721375,0.3572545349597931,2.335505723953247,0.9990000128746033,0.0,0.7903509736061096,1.0
boston_housing,FACE,0.556689441204071,0.3648284375667572,4.577374458312988,0.8691309094429016,0.0,0.7940020561218262,1.0
