,validity,connected_ball,robust,feasability,discriminative,plausable,similarity,combined,GS,CLUE,DICE,FACE
bubbles,0.7453861236572266 +/- 0.0,0.7343953847885132 +/- 3.154853038722649e-05,0.7451595664024353 +/- 0.0001440264459233731,0.009169336408376694 +/- 0.0009529478847980499,0.8083115816116333 +/- 0.0,0.7118756175041199 +/- 0.0,0.7240461111068726 +/- 0.0007109098951332271,0.05174897983670235 +/- 0.000773755949921906,0.12900594670934296 +/- 0.0,0.8250494003295898 +/- 0.0,1.3966350597185169 +/- 0.0,-1.0 +/- 0.0
l_dataset,1.8393018245697021 +/- 0.0,2.4869384765625 +/- 0.002029070630669594,2.3196816444396973 +/- 0.000709889514837414,0.5551060438156128 +/- 0.001404030597768724,2.4082460403442383 +/- 0.0,3.971057176589966 +/- 2.384185791015625e-07,2.293938159942627 +/- 0.00023859611246734858,2.509211301803589 +/- 0.0022116536274552345,2.462492010494 +/- 0.0,-1.0 +/- 0.0,1.7801650210326456 +/- 2.220446049250313e-16,1.0287946462631226 +/- 0.0
one_moon,0.6093078255653381 +/- 0.0,0.043991778045892715 +/- 0.017057208344340324,1.0133116245269775 +/- 0.0065006050281226635,0.02845214307308197 +/- 0.014146432280540466,7.311514854431152 +/- 4.76837158203125e-07,0.06606414914131165 +/- 0.0,0.05709289386868477 +/- 0.0038793939165771008,0.045067962259054184 +/- 0.01910761371254921,2.0947857575606497 +/- 0.0,1.1334649562835692 +/- 0.006182798564203744,0.8516567955754611 +/- 0.48199275870571195,0.03873167186975479 +/- 0.01973771504059928
ring_dataset,0.09265205264091492 +/- 0.0,0.15189488232135773 +/- 0.013338441960513592,0.025762829929590225 +/- 0.0051104058511555195,0.147212415933609 +/- 0.013388036750257015,0.07326512038707733 +/- 0.0,0.17214766144752502 +/- 0.0,0.06913135200738907 +/- 0.0021811560727655888,0.1679728925228119 +/- 0.008434521965682507,0.1643481500202052 +/- 0.0,0.06260417327284813 +/- 0.015880344706244397,0.1382164151122988 +/- 0.04527149031104501,0.09241156578063965 +/- 0.047557689198643116
bubbles_noisy,2.004642963409424 +/- 0.0,0.965924084186554 +/- 0.015320162288844585,0.6535118818283081 +/- 0.004399121273308992,0.03447519615292549 +/- 0.012460902333259583,2.104346752166748 +/- 0.0,0.98418128490448 +/- 0.0,1.0348087549209595 +/- 0.0009281379752792418,0.3979617953300476 +/- 0.006839902605861425,0.07730515727717083 +/- 0.0,-1.0 +/- 0.0,3.1181073797251093 +/- 0.0,0.0 +/- 0.0
two_moon,0.029967050999403 +/- 1.862645149230957e-09,0.02371230348944664 +/- 0.010259898379445076,0.020502222701907158 +/- 0.01467684656381607,0.02785988710820675 +/- 0.015126927755773067,0.045193884521722794 +/- 0.0,0.0112776979804039 +/- 0.0,0.01340977568179369 +/- 0.0047613028436899185,0.04208264499902725 +/- 0.009271984919905663,0.08058701477707153 +/- 0.0,0.014720093458890915 +/- 0.0002482570707798004,0.4331802868641602 +/- 0.15157323162949532,0.022153590619564057 +/- 0.024448332935571672
infinity_dataset,0.137039914727211 +/- 0.0,0.7424273490905762 +/- 0.009742174297571182,1.4017528295516968 +/- 0.0018558882875368,0.7425277233123779 +/- 0.010397030040621758,1.4203773736953735 +/- 0.0,0.08686219900846481 +/- 0.0,0.2799026370048523 +/- 0.0007403382915072143,0.722207248210907 +/- 0.003637253539636731,0.05911907721854903 +/- 0.0,-1.0 +/- 0.0,0.6595689371434086 +/- 2.3671086828702666e-05,0.011761635821312667 +/- 0.002139590121805668
